Token,BIO_Tag
PUTUSAN,O
Nomor,O
4260,O
KPidSus2022,O
DEMI,O
KEADILAN,O
BERDASARKAN,O
KETUHANAN,O
YANG,O
MAHA,O
ESA,O
MAHKAMAH,O
AGUNG,O
memeriksa,O
perkara,O
tindak,O
pidana,O
khusus,O
pada,O
tingkat,O
kasasi,O
yang,O
dimohonkan,O
oleh,O
Penuntut,O
Umum,O
pada,O
Kejaksaan,O
Negeri,O
Jakarta,O
Selatan,O
dan,O
Terdakwa,O
telah,O
memutus,O
perkara,O
Terdakwa,O
Nama,O
IRZA,B-PER
IFDIAL,I-PER
SE,I-PER
Tempat,O
Lahir,O
Jakarta,O
UmurTanggal,O
Lahir,O
53,O
tahun28,O
April,O
1967,O
Jenis,O
Kelamin,O
Lakilaki,O
Kewarganegaraan,O
Indonesia,O
Tempat,O
Tinggal,O
Jalan,O
Amil,O
II,O
Kav,O
7,O
A,O
Pejaten,O
Elite,O
RT,O
005,O
004,O
Kelurahan,O
Pejaten,O
Barat,O
Kecamatan,O
Pasar,O
Minggu,O
Jakarta,O
Selatan,O
Agama,O
Islam,O
Pekerjaan,O
Direktur,B-PER
Utama,I-PER
PT,O
Ide,O
Cipta,O
Reatti,O
Terdakwa,O
tersebut,O
berada,O
dalam,O
Tahanan,O
Kota,O
sejak,O
tanggal,O
23,O
Juli,O
2020,O
sampai,O
dengan,O
tanggal,O
7,O
Oktober,O
2021,O
Terdakwa,O
diajukan,O
di,O
depan,O
persidangan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
karena,O
didakwa,O
dengan,O
dakwaan,O
sebagai,O
berikut,O
Kesatu,O
Diatur,O
dan,O
diancam,O
pidana,O
dalam,O
Pasal,B-MISC
372,I-MISC
KUHP,I-MISC
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
Dan,O
Kedua,O
Primair,O
Diatur,O
dan,O
diancam,O
pidana,O
dalam,O
Pasal,O
3,O
UndangUndang,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Tindak,O
Pidana,O
Pencucian,O
Uang,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
Subsidair,O
Diatur,O
dan,O
diancam,O
pidana,O
dalam,O
Pasal,O
5,O
Ayat,O
1,O
Undang,O
Undang,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Tindak,O
Pidana,O
Pencucian,O
Uang,O
Membaca,O
Tuntutan,O
Pidana,O
Penuntut,O
Umum,O
pada,O
Kejaksaan,O
Negeri,O
Jakarta,O
Selatan,O
tanggal,O
19,O
November,O
2020,O
sebagai,O
berikut,O
1,O
Menyatakan,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
terbukti,O
secara,O
sah,O
dan,O
meyakinkan,O
telah,O
bersalah,O
melakukan,O
tindak,O
pidana,O
Penggelapan,O
dan,O
Pencucian,O
Uang,O
secara,O
bersamasama,O
sebagaimana,O
diatur,O
dan,O
diancam,O
pidana,O
dalam,O
dakwaan,O
Kesatu,O
Pasal,O
372,O
KUHP,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
dan,O
dakwaan,O
